,property_code,property_name,property_rating
167,3788,Oom Gawie se Plek,94
168,59476,Kingfisher Blue on Milkwood,94
169,2326,Rissington Inn,94
170,27989,The Echo Caves Motel,86
171,11856,Sabie River Camp,88
172,104471,Kruger Park Lodge 265,
173,58449,Ploughman’s Rest,10
174,60299,Karongwe River Lodge,
175,17834,Kruger Park Lodge Chalet 226A,92
176,73364,444 on Taaibos,96
177,75353,Tinkers Lakeside Lodge,
178,26810,Raptors Wildlife Escape 2 and 48,88
179,53633,Call of the Wild Lodge,84
180,1864,Plumbago Guest House,10
181,97933,Ndlovu Bushvilla,
182,6809,Oppi Plaas,90
183,91251,African Flair Boutique Safari Lodge,
184,77643,Shumbalala Game Lodge,
185,105969,Tomo Safari Lodge,
186,41204,The Bush House,90
187,92151,Sunbirds Oasis Lodge,10
188,20616,Dankhof Guest House,98
189,40563,Hatbrooke Lodge,90
190,63310,Masasana's Rest,76
191,8729,Idle & Wild,92
192,68247,Kruger Park Lodge Unit No. 608A,10
193,26028,Sabie Retreats Guest House,88
194,58076,Bushwillow Private Villa,96
195,103970,The Boh-House,
196,9248,Nabana Lodge,82
197,3942,Baluleni Safari Lodge,94
198,25483,The Belgium Inn,
199,39289,Lions Place Lodge,88
